


		Rh/Fe THERMOMETER CALIBRATION FILE
		----------------------------------

Temperature K	Resistance in ohms

          NEXT SENSOR
(******************************************************************************)
 
          NEXT SENSOR
 
     1054
1.492   1.43733
2.031   1.52362
2.808   1.64178
3.211   1.69954
4.013   1.80862
4.224   1.83579
5.401   1.97750
7.048   2.15034
8.032   2.24177
10.068  2.40851
13.078  2.61282
16.069  2.78010
20.053  2.96627
25.109  3.16880
27.342  3.25293
29.735  3.34367
34.892  3.54952
40.161  3.78777
50.191  4.35173
60.336  5.07963
70.202  5.91831
80.302  6.87675
90.267  7.88924
100.342 8.95311
125.335 11.65589
150.089 14.32183
175.084 16.96602
200.036 19.56155
225.191 22.14617
250.267 24.70317
272.878 27.00176
273.346 27.04915
300.189 29.77783
    325.00000     32.30521
    350.00000     34.84917
    375.00000     37.39312
    400.00000     39.93708
 
(******************************************************************************)
 
          NEXT SENSOR
 
      1153
1.492   1.43816
2.031   1.52408
2.808   1.64168
3.211   1.69926
4.013   1.80779
4.224   1.83489
5.401   1.97590
7.048   2.14794
8.032   2.23907
10.068  2.40514
13.078  2.60866
16.069  2.77524
20.053  2.96071
25.109  3.16229
27.342  3.24636
29.735  3.33666
34.891  3.54198
40.161  3.77962
50.191  4.34228
60.336  5.06869
70.202  5.90643
80.302  6.86397
90.267  7.87545
100.342 8.93901
125.336 11.64121
150.089 14.30731
175.084 16.95251
200.036 19.54877
225.191 22.13445
250.267 24.69288
272.878 26.99273
273.346 27.04018
300.190 29.77055
    325.00000     32.29925
    350.00000     34.84465
    375.00000     37.39005
    400.00000     39.93545
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1763
   1.497			         1.52331
   2.028			         1.61288
   2.803			         1.73628
   3.208			         1.79707
   4.006			         1.91030
   4.222			         1.93947
   5.399			         2.08748
   6.221			         2.18126
   7.011			         2.26488
   8.002			         2.36186
  10.065			         2.53951
  13.079			         2.75504
  16.047			         2.93037
  20.002			         3.12632
  25.086			         3.34153
  27.193			         3.42546
  30.370			         3.55186
  35.193			         3.75437
  40.072			         3.98340
  50.047			         4.55602
  59.916			         5.26963
  70.300			         6.15570
  80.313			         7.10716
  90.305			         8.11911
 100.192			         9.15681
 125.326			        11.84991
 150.396			        14.51857
 175.610			        17.15127
 200.765			        19.73153
 225.815			        22.26821
 250.719			        24.77016
 273.088			        27.00971
 273.355			        27.03623
 299.869			        29.69007
    325.00000     32.21177
    350.00000     34.71732
    375.00000     37.22288
    400.00000     39.72844
 
(******************************************************************************)
 
          NEXT SENSOR
 
	1765
   1.497			         1.53231
   2.019			         1.62216
   2.803			         1.74595
   3.208			         1.80678
   4.006			         1.92051
   4.222			         1.94972
   5.399			         2.09819
   6.221			         2.19228
   7.011			         2.27606
   8.002			         2.37311
  10.065			         2.55131
  13.079			         2.76740
  16.047			         2.94335
  20.002			         3.13958
  25.086			         3.35542
  27.193			         3.43956
  30.370			         3.56625
  35.194			         3.76928
  40.072			         3.99859
  50.047			         4.57244
  59.916			         5.28702
  70.300			         6.17408
  80.313			         7.12635
  90.305			         8.13884
 100.192			         9.17707
 125.328			        11.87038
 150.396			        14.53831
 175.610			        17.16989
 200.765			        19.74849
